trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,12,-101.38844809272291,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-116.07844989561382,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-156.6527886940072,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-63.41382152514598,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-87.5761106664975,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-112.18117650236164,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,6,-92.82142455945248,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,8,-27.417924899861987,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-106.85120854610706,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-7.568435942392702,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,11,-39.61078790068985,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,11,11.058280931005692,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,11,1.6998190787001513,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,9,-1.8791905912018096,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,11,-42.72743296986066,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,18,12.019433499647686,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,13,-27.408489184494034,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,14,-0.4618689771859956,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,18,-94.12108825718654,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 2}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-20.544394215564438,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,16,16.987021206526098,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,10,-3.6115679922108117,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,15,26.23342675859946,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",35,22,-24.177400966264155,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,12,-2.98927067610595,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,14,13.45377652982017,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,2,26.972617984716088,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,14,-62.96803245293778,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,12,10.868921907039168,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,27.64645984139767,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
