trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-209.7305996032525,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,0,-86.685224414733,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,9,0.5148607552911821,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-23.370512563548203,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",30,0,-112.94238548287224,"{0: 18, 1: 3, 2: 6, 3: 3, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,3,-68.06752983849715,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 0}",1
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-126.47050491479791,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-80.18810357848086,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-97.06267925942726,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",35,0,-218.93962598354148,"{0: 18, 1: 2, 2: 11, 3: 2, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",30,0,-238.1946891461119,"{0: 14, 1: 5, 2: 5, 3: 3, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",35,0,-150.99973501209828,"{0: 22, 1: 7, 2: 2, 3: 2, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,-31.259023855035995,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-155.00188106183813,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",20,0,-170.2800016654571,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",25,0,-74.40241274865804,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",20,0,-77.96106014535711,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",25,0,-97.58709293180165,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",20,0,-97.43731573764579,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,0,-33.12515479622566,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",25,0,-133.4689862265174,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",25,0,-61.17659652222073,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.794533602503334}",25,0,-103.76466323930552,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",20,0,-49.67028783843567,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",30,0,-106.27146429901684,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",25,6,-77.73361354772832,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
27,False,"{'a': 0.01, 'e': 0.7633794943368531}",25,9,-42.807426487167284,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 0}",1
28,False,"{'a': 0.01, 'e': 0.7557837414557255}",20,0,-25.317217351465878,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.7482635675785653}",20,0,-77.87212898646071,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.7408182206817179}",25,0,-4.491628061238814,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.7334469562242892}",20,0,-39.17414398254738,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.7261490370736909}",20,0,-177.37795051681198,"{0: 10, 1: 2, 2: 2, 3: 4, 4: 2}",0
