trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,0,-160.78942735162536,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,9,-42.957022302045715,"{0: 6, 1: 2, 2: 2, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,0,-129.2247406428453,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,0,-163.03318285670446,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.0820849986238988}",25,9,8.483176937186272,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.049787068367863944}",30,0,-94.61644449619726,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.0301973834223185}",35,0,-220.833003762101,"{0: 19, 1: 4, 2: 8, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.01831563888873418}",20,0,-119.98622614814634,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.011108996538242306}",20,0,-170.26689446126127,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.006737946999085467}",20,4,-53.86610807434037,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.004086771438464067}",25,0,-62.62929427622035,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.0024787521766663585}",20,0,-177.9900138577476,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.0015034391929775724}",35,0,-218.3911374099208,"{0: 19, 1: 3, 2: 8, 3: 3, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.0009118819655545162}",20,0,-157.0986203395412,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.0005530843701478336}",20,0,-115.81089697540823,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.00033546262790251185}",30,0,-170.75254647849056,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.00020346836901064417}",20,0,-151.18358590238304,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.00012340980408667956}",30,0,-185.9134122506702,"{0: 13, 1: 7, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 7.48518298877006e-05}",30,0,-182.0867137599825,"{0: 15, 1: 5, 2: 6, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 4.5399929762484854e-05}",25,0,-171.32214686752314,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",25,0,-85.6472054749409,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,11,-48.04914490228455,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,0,-171.69495230413253,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,1,-87.96630572291097,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,0,-157.38812455179954,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",30,0,-119.99941587994789,"{0: 15, 1: 3, 2: 11, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,-90.6099625234408,"{0: 18, 1: 6, 2: 4, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,0,-135.7005158560518,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-155.5445885191145,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-135.39063929303833,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
